Language,SceneCode,Type,Name,Origin,Korean
Japanese,scene_fate_chr252_ep1,synopsis,,[ジータ]達がフリーシアの企てを阻止すべくタワーへ向かっていると、突如、オイゲンは悲鳴を聞き、立ち止まる。駆けつけると帝国兵が軍用路拡張のため住居を破壊しており、その前で少女が自宅の破壊を嘆いていた。オイゲンは咄嗟に少女を助け、母親の元へ届けてやろうと提案する。黒騎士は後先を考えないオイゲンの行動に苛立ちを募らせていく。
Japanese,scene_fate_chr252_ep1,detail,,<span class='scene-font-katari'>[ジータ]一行は</span><br><span class='scene-font-katari'>フリーシアの企てを阻止すべく、</span><br><span class='scene-font-katari'>タワーへ向かって突き進んでいた。</span>
Japanese,scene_fate_chr252_ep1,detail,,<span class='scene-font-katari'>そんな中、突如、</span><br><span class='scene-font-katari'>オイゲンが立ち止まる。</span>
Japanese,scene_fate_chr252_ep1,detail,オイゲン,うん……？
Japanese,scene_fate_chr252_ep1,detail,黒騎士,どうした、何を立ち止まっている？
Japanese,scene_fate_chr252_ep1,detail,オイゲン,……悲鳴だ。
Japanese,scene_fate_chr252_ep1,detail,黒騎士,悲鳴だと……？<br>私には聞こえなかったが……
Japanese,scene_fate_chr252_ep1,detail,黒騎士,それがどうした？<br>今はそんなものに<br>構っている暇など……
Japanese,scene_fate_chr252_ep1,detail,オイゲン,…………
Japanese,scene_fate_chr252_ep1,detail,ルリア,あ、オイゲンさん！<br>どこへ行くんですか。
Japanese,scene_fate_chr252_ep1,detail,,<span class='scene-font-katari'>ルリアの声が聞こえたのか、</span><br><span class='scene-font-katari'>聞こえなかったのか、オイゲンは</span><br><span class='scene-font-katari'>瓦礫の向こう側へと消えていく。</span>
Japanese,scene_fate_chr252_ep1,detail,,<span class='scene-font-katari'>なかなか追いついて来ない</span><br><span class='scene-font-katari'>[ジータ]達を心配して、</span><br><span class='scene-font-katari'>ビィがやってくる。</span>
Japanese,scene_fate_chr252_ep1,detail,ビィ,おいおい、何してんだよ。<br>みんな、先へ行っちまったぞ。
Japanese,scene_fate_chr252_ep1,detail,黒騎士,ちっ……<br>貴様らは先に行け。<br>奴は私が連れ戻す。
Japanese,scene_fate_chr252_ep1,detail,ビィ,お、おい！？<br>どうした！？<br>どこ行くんだよ！？
Japanese,scene_fate_chr252_ep1,detail,ルリア,それが……<br>オイゲンさんが悲鳴を聞いて、<br>走って行ってしまって……
Japanese,scene_fate_chr252_ep1,detail,ビィ,……はあ。何なんだよ。<br>なあ、どうすんだ？ [ジータ]。
Japanese,scene_fate_chr252_ep1,sel1_txt,,<span class='scene-font-katari'>心配だ、見に行ってくる</span>
Japanese,scene_fate_chr252_ep1,sel2_txt,,<span class='scene-font-katari'>大丈夫だ、放って置こう</span>
Japanese,scene_fate_chr252_ep1,detail,ルリア,そうですよね。<br>私もふたりが心配です。
Japanese,scene_fate_chr252_ep1,detail,ビィ,ったく、しょーがねぇなぁ……<br>そんなら早く行こうぜ。
Japanese,scene_fate_chr252_ep1,detail,,<span class='scene-font-katari'>[ジータ]とルリア、そしてビィは、</span><br><span class='scene-font-katari'>オイゲンと黒騎士が消えていった</span><br><span class='scene-font-katari'>瓦礫の方へと走っていく──</span>
Japanese,scene_fate_chr252_ep1,detail,ルリア,そんなこと言って、また……<br>[ジータ]ひとりで<br>様子を見にいくつもりですね。
Japanese,scene_fate_chr252_ep1,detail,ビィ,へへ、おめぇのやることなんて<br>全部お見通しだってぇの！<br>どんだけ一緒にいると思ってんだよ。
Japanese,scene_fate_chr252_ep1,detail,,<span class='scene-font-katari'>[ジータ]とルリア、そしてビィは、</span><br><span class='scene-font-katari'>オイゲンと黒騎士が消えていった</span><br><span class='scene-font-katari'>瓦礫の方へと走っていく──</span>
Japanese,scene_fate_chr252_ep1,detail,少女,やぁだぁーーー！！<br>おうち、あたしのおうちぃ！！
Japanese,scene_fate_chr252_ep1,detail,帝国兵,済まない、少女よ……<br>これも軍用路拡張のため。<br>民間人は協力する義務がある。
Japanese,scene_fate_chr252_ep1,detail,帝国兵,しかし約束しよう。<br>我々帝国軍は民の犠牲を無駄にしない。<br>命に代えても皆を守ろう。
Japanese,scene_fate_chr252_ep1,detail,,<span class='scene-font-katari'>二八式歩兵戦闘車に乗る帝国兵は</span><br><span class='scene-font-katari'>使命感を胸に操縦桿を倒し、</span><br><span class='scene-font-katari'>鋼鉄の腕で少女の家屋を破壊する。</span>
Japanese,scene_fate_chr252_ep1,detail,,<span class='scene-font-katari'>泣きじゃくっていた少女は</span><br><span class='scene-font-katari'>その光景を目の当たりにして絶望し、</span><br><span class='scene-font-katari'>力なくへたりこむのだった。</span>
Japanese,scene_fate_chr252_ep1,detail,,<span class='scene-font-katari'>その時、運悪く──</span><br><span class='scene-font-katari'>破壊された家屋の断片が</span><br><span class='scene-font-katari'>少女めがけて真っ逆さまに落ちてきた。</span>
Japanese,scene_fate_chr252_ep1,detail,オイゲン,危ねええぇッ！
Japanese,scene_fate_chr252_ep1,detail,,<span class='scene-font-katari'>間一髪、ぎりぎりのところで</span><br><span class='scene-font-katari'>オイゲンは少女を抱え上げ、</span><br><span class='scene-font-katari'>難を脱する。</span>
Japanese,scene_fate_chr252_ep1,detail,帝国兵,ぬっ、貴様は……<br>その顔、見たことがあるぞ。<br>確か、手配書にあった顔だ！
Japanese,scene_fate_chr252_ep1,detail,オイゲン,やべぇ……<br>バレちまうと厄介だ。<br>早く倒さねぇと──
Japanese,scene_fate_chr252_ep1,detail,黒騎士,ふん……<br>余計な手間を<br>増やさないで欲しいものだな。
Japanese,scene_fate_chr252_ep1,detail,オイゲン,はっはっは！<br>いや、悪ぃなぁ。<br>助かったぜ。
Japanese,scene_fate_chr252_ep1,detail,,<span class='scene-font-katari'>オイゲンはふと気づく。</span><br><span class='scene-font-katari'>辺りを見回してみたが、</span><br><span class='scene-font-katari'>さっきまでいたはずの少女がいない。</span>
Japanese,scene_fate_chr252_ep1,detail,,<span class='scene-font-katari'>きょろきょろと探していると、</span><br><span class='scene-font-katari'>崩れた瓦礫の奥からひょっこり、</span><br><span class='scene-font-katari'>先ほどの少女が顔を覗かせる。</span>
