Language,SceneCode,Type,Name,Origin,Korean
Japanese,"scene_cp8_q1_s10,811",synopsis,,"機械の魔物から溢れる魔力は,イオに大公の関与を確信させる。不安がるイオを勇気づけながら<span>[플레이어]</span>一行は大公の影を求めて地下工場を進む。","기계의 마물로부터 흘러넘치는 마력은, 이오에게 대공의 관여를 확신시킨다.불안해하는 이오를 격려하면서<span>[플레이어]</span>일행은 대공의 그림자를 찾아 지하공장을 나아간다."
Japanese,"scene_cp8_q1_s10,811",detail,,<span class='scene-font-katari'>遠く立ちはだかる機械の魔物は</span><br><span class='scene-font-katari'>イオに大公の気配を確信させる。</span>,<span class='scene-font-katari> 멀리 가로막은 그 기계의 마물은 </span><br><span class='scene-font-katari> 이오에게 대공의 기미를 확신시킨다.</span>
Japanese,"scene_cp8_q1_s10,811",detail,,"<span class='scene-font-katari'>その確信は同時に,大公その人が</span><br><span class='scene-font-katari'>この地下の果てに潜んでいることを</span><br><span class='scene-font-katari'>意味していた。</span>","<span class='scene-font-katari>에 대한 확신은 동시에, 대공 그 사람이 </span><br><span class='scene-font-katari>이 지하의 끝에 숨어 있는 것을 </span><br><span class='scene-font-katari><span><span class><span class><span class><span class><sclass><span class><sc"
Japanese,"scene_cp8_q1_s10,811",detail,이오,"機械の魔物の魔力……<br>間違いない!<br>やっぱり,機械の魔物は師匠が……!","기계의 마물의 마력……<br>틀림없어!<br>역시, 기계의 마물은 스승이……!"
Japanese,"scene_cp8_q1_s10,811",detail,비,"大公さんは,<br>ずいぶんなモンを作ってくれたなぁ!",대공님은 <br> 상당한 몬을 만들어 주셨구나!
Japanese,"scene_cp8_q1_s10,811",detail,이오,"師匠……<br>あたし,師匠の事信じたいよ……","스승...<br>나, 스승에 대해 믿고 싶어……"
Japanese,"scene_cp8_q1_s10,811",detail,라캄,"イオ……なにが起きてんのかは,<br>自分の目で確かめようぜ。<br>……師匠が大好きなんだろ?","이오……무슨일이 일어나고 있는지는,<br>자신의 눈으로 확인하자.<br>……스승을 정말 좋아하는거지?"
Japanese,"scene_cp8_q1_s10,811",detail,이오,……うん。,……응.
Japanese,"scene_cp8_q1_s10,811",detail,비,"よし!<br>行こうぜ,[플레이어]!",좋아!<br>가자아 [플레이어]
Japanese,"scene_cp8_q1_s20,812",synopsis,,"必死に師匠を探すイオを援護しながら,<span>[플레이어]</span>一行は次々と現れる魔物を蹴散らしていく。","필사적으로 스승을 찾는 이오를 원호하면서,<span>[플레이어]</span>일행은 차례차례 나타나는 마물들을 헤집어간다."
