Type,Name,Origin,Korean
condition_win,,一人も倒されることなく<br>ライゾウを撃破せよ！
text_jp,,イーッヒヒヒヒ！！　どや？<br>ワイのド派手な武器の威力は！
text_en,,"Yeeheehee! How do you like that, eh? Knocked your socks off, didn't it!"
text_jp,,くっ……ふざけた見た目に反して、<br>威力は本物の様ですね……
text_en,,Ngh... That gaudy hunk of junk packs a hell of a wallop.
text_jp,,ユイシスさんが危ない！<br>助けないと……！
text_en,,Yuisis is in trouble! We have to help her!
text_jp,,なんやねん、ワレェ！？<br>邪魔する奴はしばき倒したるど！
text_en,,"Out of my way, you ring-tailed piglet, or you'll be bacon!"
text_jp,,クビラさん、助かったわ。<br>では、反撃と行かせてもらいます！
text_en,,"Thank you, Kumbhira. Time for some payback!"
text_jp,,イーッヒッヒッヒッヒ！！<br>ええなぁ！　ほんまに痺れるわぁ！<br>ほんならワイも本気で行くど！
text_en,,Yeeheehee! That smarts! Guess I can really let you have it now!
text_jp,,これがワイの武器の真骨頂や！<br>めでたい気分になってきたやろ、<br>ワレ？
text_en,,"Behold my weapon's true power! Puts you right in the festive mood, doesn't it?"
text_jp,,…………
text_en,,...
text_jp,,なんや、つれないのぅ、ワレ。<br>せやったらとっておきの技を<br>見せたるで！
text_en,,"Wow, tough crowd. Well, let's see how my ace in the hole grabs you!"
text_jp,,嫌な予感がする……<br>시데님、お願い！
text_en,,"I've got a bad feeling about this... Your turn, 시데님!"
text_jp,,시데님、準備が出来たわ。<br>こんなつまらない見世物は<br>早々に幕を引かないとね。
text_en,,"I'm ready, 시데님. Time to shut down this clown's circus for good."
condition_win,,煩悩退散の術で<br>ユイシスから煩悩を払おう！
text_jp,,このままじゃ……みんなを……<br>今のうちに逃げて……
text_en,,"At this rate, I'll kill you all... You have to run!"
text_jp,,安心して、ユイシスさん。<br>今私達が煩悩を払うから！
text_en,,"Don't worry, Yuisis. We're going to banish those Kleshas!"
text_jp,,悪いけど、시데님は<br>ユイシスの注意を引きつけて。<br>その間にクビラと煩悩を払うよ！
text_en,,"시데님, you need to keep Yuisis distracted so we can perform the purification rite!"
text_jp,,ありがとう、시데님。<br>その調子でユイシスさんの<br>相手をお願い！
text_en,,"Thanks, 시데님. Keep her attention on you, okay?"
text_jp,,術発動の準備が整うまで、<br>もう少しだけ頑張って！
text_en,,We need a little more time to prepare. Hang in there!
text_jp,,ううぅ、ああぁあぁぁぁーーー！！
text_en,,Nngh... Aaaarrrgh!
text_jp,,煩悩の気配が強まっている……！<br>시데님、気をつけて！<br>強い攻撃が来るよ！
text_en,,"The Kleshas are intensifying, 시데님! She's about to do something big! Be careful!"
text_jp,,ううぅ……
text_en,,Hurgh...
text_jp,,準備が整った！<br>術を発動するよ！
text_en,,I'm ready! Here goes nothin'!
text_jp,,私もいける！<br>早くユイシスさんを助けよう！
text_en,,Me too! Let's get Yuisis back to normal!
text_jp,,ジョイ、ジョヤノ、コト、<br>ゼッタイ、タスケル！
text_en,,Joy will save Joya!
text_jp,,うん！　皆で力を合わせて<br>ジョヤの暴走を止めよう！
text_en,,"Right! If we work together, we can bring the Joya to its senses!"
text_jp,,まずはぼく達から行くね！
text_en,,We'll get this started!
text_jp,,出番だよ！　ドーマウス！
text_en,,"You're up, Dormouse!"
text_jp,,くぅ……！<br>なんて強い煩悩なの！？
text_en,,Urgh! Those Kleshas are so strong!
text_jp,,ハワワッ！？<br>クビラ、ビカラ、시데님、<br>ダイジョーブ？
text_en,,"Meep! Kumbhira, Vikala, 시데님, are you o-kay?"
text_jp,,ジョイガ、ミンナヲ、タスケル！<br>ゴォォーーンンン！！！
text_en,,Joy will save you! Gooonnnggg!
text_jp,,ありがとう、ジョイくん！<br>これでいつも通り戦えそうだよ！
text_en,,"Thanks, Joy! I should be able to fight at a hundred percent now!"
text_jp,,ジョヤに集まった煩悩が<br>膨れ上がっている！？
text_en,,The Kleshas around the Joya are expanding!
text_jp,,ジョヤニ、モウ、<br>ワルイコト、サセナイ！<br>ジョヤハ、ジョイガ、トメル！
text_en,,Joy won't let Joya do bad things anymore! Joy will stop it!
text_jp,,ミンナデ、<br>「アケマシテオメデトー」ッテ、<br>イウタメニ！
text_en,,"Let's all say Happy New Year"" together!"""
