Type,Name,Origin,Korean
text_jp,,ヴィーラちゃん激おこなんだけど……
text_en,,"Vira's gone max cray-cray, guys..."
text_jp,,オイオイオイオイ……<br>Doすんだよコレ……
text_en,,What do we do? What do we do!
text_jp,,ど、どうしたらいいんでしょう……
text_en,,Oh dear... I don't know either...
text_jp,,Ｄｏしろって、ルリぴっぴ。<br>Ｓｏするしかねえっしょ！
text_en,,"Keep it cool, Lily-rad. We got this."
text_jp,,とりま、<br>ポコパンキメる覚悟決めっから<br>オレっちに任せろ的な？
text_en,,Just chill for now. Save up your skills for when things get dicey.
text_jp,,りょ！
text_en,,Word!
text_jp,,お？なになになによ？<br>ッベェ雰囲気キてんじゃねーかコレ。
text_en,,"Hm? Whoa, whoa, whoa. My trouble meter's going on the fritz, dudes."
text_jp,,パネェ攻撃食らう寸前的な？
text_en,,She's gonna hit us hard.
text_jp,,チャラ男ロックオン的な？
text_en,,And not in a good way.
text_jp,,わ、私が防ぎます！<br>1度だけ、「恵みの風」で！
text_en,,"I'll protect you! I can only do this once, but Rousing Wind should help us pull through!"
text_jp,,神ってるわー<br>そんじゃあ、「恵みのゼーカー」<br>ヨロシャース。
text_en,,"You angel-rollin' for real, Lyria. Aight, lay some of that Arousing Wind on us."
text_jp,,パーペキにキメますんで！<br>見届けてください！
text_en,,Gotcha!
text_jp,,はうう……またあの攻撃が来たら…
text_en,,Oh no... It's that attack again...
text_jp,,ローアインおめ、<br>大事なアビリティ忘れてね？
text_en,,Lowain. You thinking what I'm thinking?
text_jp,,……あ！ピッカンキタコレ！
text_en,,Awww-yeaaah!
text_jp,,ナニナニ？Doいうこと？<br>気になるじゃーん、教えろじゃーん！
text_en,,What? What? What're you guys thinking?
text_jp,,☆★☆禁断の3アビ☆★☆<br>バイブスアゲて<br>ガチめにキメるしかねーっしょ
text_en,,"My comradical comrades, 'tis time we ended this... with Totally Forbidden Skillz!"
text_jp,,エモいわ……
text_en,,"Oh, I... I knew that."
text_jp,,いくぜダチ公！！<br>イーハーーーーーー！！！！
text_en,,Let's do this! Yeaaa-hooo!
text_jp,,頼りにしてます、ダチ公さん！<br>マジパネーション！
text_en,,"Counting on you, brofams! We can do this!"
