Type,Name,Origin,Korean
condition_win,,勝利条件
condition_win,,3ターン以内にゴリラを倒して印刷所へ急げ！
text_jp,#REF!,こんな街中に<br>どうしてゴリラが……！？
text_en,#REF!,What's a gorilla doing in the middle of the city?
text_jp,#REF!,ただのゴリラじゃないわ……<br>そのゴリラ、喋るのよ！！
text_en,#REF!,That's not just any gorilla. This one's a talking gorilla!
text_jp,#REF!,ん……？<br>ハンサム・ゴリラ飲み過ぎた……?
text_en,#REF!,Huh? Did I drink too much Handsome Gorilla?
text_jp,#REF!,ダメだわ……！<br>今はゴリラしか描ける気がしない！
text_en,#REF!,It's no use! I've got writer's gorilla!
text_jp,#REF!,うほ～！
text_en,#REF!,Ooh-ahh!
text_jp,#REF!,うほ～い！
text_en,#REF!,Ooh-ooh-ahh!
text_jp,#REF!,（何もかもがゴリラに見える……）
text_en,#REF!,(Everyone looks like a gorilla...)
text_jp,#REF!,うぅ……<br>栄養分を取りすぎたせいか、<br>ゴリラが二重に見えます……！
text_en,#REF!,"Urgh, I might've gone overboard with the supplements. I'm seeing double... gorillas, that is!"
text_jp,#REF!,喋るゴリラとは珍しいですね～<br>なんとか森に帰さないと～……
text_en,#REF!,"It's not every day you see a talking gorilla. Still, we need to return it to the forest somehow..."
text_jp,#REF!,うほうほ～！
text_en,#REF!,"Ooh-ooh, ahh-ahh!"
text_jp,#REF!,ゴリラも気になるけれど……<br>今は時間がないわ！
text_en,#REF!,I'm a bit concerned about that gorilla... but there's no time to lose!
text_jp,#REF!,みんな、一気に終わらせるわよ！
text_en,#REF!,"Come on, girls! Let's finish this in one go!"
text_jp,#REF!,うほうほ～！！！
text_en,#REF!,"Ooh-ooh, ahh-ahh!"
text_jp,#REF!,ハンサム・ゴリラが効いてきた。<br>私達も反論を始めよう！
text_en,#REF!,The Handsome Gorilla's kicking in. Time for our rebuttal!
text_jp,#REF!,グオォォォ！
text_en,#REF!,Groooar!
text_jp,#REF!,うほ～？<br>うっほうほです～！
text_en,#REF!,"Ooh? Ooh-ooh, ahh-ahh!"
text_jp,#REF!,ここにいる人々の目は曇ってなど<br>いないよ。何を好み、創ろうと<br>それは人の自由なのだから。
text_en,#REF!,The truth is clear to all of us. People are allowed to enjoy and create whatever they want.
text_jp,#REF!,うほぉ！！！
text_en,#REF!,Ooh-ooh!
text_jp,#REF!,そうよ！私たちは誇りをもって<br>絵を描いているの！
text_en,#REF!,Yeah! We take great pride in our art!
text_jp,#REF!,うまくできているか不安になったり<br>批判が怖くなったりもするけど、<br>それを乗り越えてここにいるのよ！
text_en,#REF!,We've all worried over if we did a good job or what criticism we might face. But we overcame that to be here today!
text_jp,#REF!,うっ……この文化に興味のない人が<br>見たら正論だと思うような嫌な主張<br>だけどルナールさんたちなら……！
text_en,#REF!,His claims might sound convincing to people who don't know any better. But I know they can prove him wrong!
text_jp,#REF!,皆さん！<br>空の世界の文化のためにも<br>どうか負けないで……！
text_en,#REF!,"Hang in there, ladies! The fate of the arts is in your hands!"
text_jp,#REF!,うほ！<br>うほうほうほーーー！！！
text_en,#REF!,"Ooh-ooh! Ooh-ooh, ahh-ahh!"
